Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
Body,Body Soft™ Lace Detail Short Dressing Gown,https://www.marksandspencer.com/body-soft-lace-detail-short-dressing-gown/p/clp60620965?color=RASPBERRY#intid=pid_pg1pip48g2r10c2,3.92,T378573W,13,25,25,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Pyjama Top,https://www.marksandspencer.com/lace-detail-pyjama-top/p/clp60621094?color=ANTIQUEROSE#intid=pid_pg1pip48g2r11c1,4.74,T373488T,19,10,10,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,https://www.marksandspencer.com/body-soft-lace-trim-pyjama-shorts/p/clp60621069?color=BLACK#intid=pid_pg1pip48g2r11c2,5,T373401S,12,10,10,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Pyjama Top,https://www.marksandspencer.com/lace-detail-pyjama-top/p/clp60621094?color=GREY#intid=pid_pg1pip48g2r12c1,4.74,T373488T,19,10,10,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,https://www.marksandspencer.com/body-soft-lace-trim-pyjama-shorts/p/clp60621069?color=ANTIQUEROSE#intid=pid_pg1pip48g2r12c2,5,T373401S,12,10,10,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Chemise,https://www.marksandspencer.com/body-soft-lace-trim-chemise/p/clp60618639?color=GREY#intid=pid_pg1pip48g2r13c1,4.48,T375083C,21,25,25,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
FatFace,Cotton Modal Woodland Animal Pyjama Top,https://www.marksandspencer.com/cotton-modal-woodland-animal-pyjama-top/p/clp22567950#intid=pid_pg1pip48g2r13c2,0,T835678W,,28,28,0,,"60% cotton, 40% modal"
Body,Body Soft™ Lace Detail Nightdress,https://www.marksandspencer.com/lace-detail-short-nightdress/p/clp60616221?color=GREY#intid=pid_pg1pip48g2r14c1,4.53,T373257M,38,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Short Dressing Gown,https://www.marksandspencer.com/body-soft-lace-detail-short-dressing-gown/p/clp60620965?color=BLACK#intid=pid_pg1pip48g2r14c2,3.92,T378573W,13,25,25,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Short Dressing Gown,https://www.marksandspencer.com/body-soft-lace-detail-short-dressing-gown/p/clp60620965?color=GREY#intid=pid_pg1pip48g2r15c1,3.92,T378573W,13,25,25,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,https://www.marksandspencer.com/body-soft-lace-trim-pyjama-shorts/p/clp60621069?color=GREY#intid=pid_pg1pip48g2r15c2,5,T373401S,12,10,10,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Cami Top,https://www.marksandspencer.com/lace-trim-cami-top/p/clp60621095?color=ANTIQUEROSE#intid=pid_pg1pip48g2r16c1,4.3,T373489T,10,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Boutique,Nova Lace Camisole Short Set,https://www.marksandspencer.com/nova-lace-lounge-camisole-short-set/p/clp60586476?color=ROSEPINK#intid=pid_pg1pip48g2r16c2,4.63,T817707C,49,20.8,26,5.2,,"Rose pink top - 84% polyester, 11% elastane and 5% polyamide (exclusive of trimmings), Rose pink bottom - 72% polyester, 18% polyamide and 10% elastane, Black top - 83% polyester, 11% elastane and 6% polyamide, Black bottom - 70% polyester, 19% polyamide and 11% elastane, Gusset (of underwear) - 100% cotton"
Body,Body Soft™ Lace Trim Pyjama Bottoms,https://www.marksandspencer.com/body-soft-lace-trim-pyjama-bottoms/p/clp60621073?color=ANTIQUEROSE#intid=pid_pg1pip48g2r17c1,4.69,T371647P,13,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Bottoms,https://www.marksandspencer.com/body-soft-lace-trim-pyjama-bottoms/p/clp60621073?color=GREY#intid=pid_pg1pip48g2r17c2,4.69,T371647P,13,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
