URL,Title,Offer Price,MPR,Off,Rating,In the Box,Capacity,Type,Model,Seller Name,Brand,No of Ratings,No of Reviews,Dimensions
https://www.flipkart.com/ifb-20-l-convection-microwave-oven/p/itmb09938773a0e6?pid=MRCGJQ7HZAAKQJBZ&lid=LSTMRCGJQ7HZAAKQJBZOPESNV&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_7_165&otracker=browse&fm=organic&iid=9450686b-2d0d-4f58-b488-b1bea31ab8d7.MRCGJQ7HZAAKQJBZ.SEARCH&ppt=None&ppn=None&ssid=2y2jore78g0000001686860554604,"IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)",12300,15999,23,3.6,"User Manual, Warranty Card, 1 Microwave Oven",20,Convection,20BC4 With Touch Key Pad 1200 Watt,SunnyVision20013.6,IFB,0,0,"Width: 24 cm, Height: 25 cm, Depth: 20 cm, Weight: 6.4 kg"
https://www.flipkart.com/lg-32-l-convection-microwave-oven/p/itm852c90e25fcd3?pid=MRCFMKHWH29U4FSM&lid=LSTMRCFMKHWH29U4FSMXNN99X&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_7_166&otracker=browse&fm=organic&iid=9450686b-2d0d-4f58-b488-b1bea31ab8d7.MRCFMKHWH29U4FSM.SEARCH&ppt=None&ppn=None&ssid=2y2jore78g0000001686860554604,"LG 32 L Convection Microwave Oven  (MJEN326PK, Black)",25590,31000,17,4.4,"1 Microwave, User Manual, Cook Book, Shelf, Milk Container, Rotisserie Bar and Handle, Glass Tray and Tawa, Rotating Ring",32,Convection,MJEN326PK,EcomStore20233.7,LG,203,25,"Width: 53 cm, Height: 32.2 cm, Depth: 52 cm, Weight: 21.7 kg"
https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itm438ef2e1e11e0?pid=MRCFYGF2XCGEQV6H&lid=LSTMRCFYGF2XCGEQV6HZJUVRI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_7_167&otracker=browse&fm=organic&iid=en_ceNR9YVRRSBXpoltpEtHjEYda7nRhiGoQPVvptlP8IfUweyp57kBzaqFbhjrdoqXiywO%2B59fjTcR8Ri7ZpVKNg%3D%3D&ppt=None&ppn=None&ssid=2y2jore78g0000001686860554604,"BAJAJ 20 L Grill Microwave Oven  (2016 MTBX, Black)",5699,5995,4,4.4,User Manual,20,Grill,2016 MTBX,OmniTechRetail4.8,BAJAJ,5523,512,"Width: 40 cm, Height: 32.8 cm, Depth: 20.94 cm, Weight: 11 kg"
https://www.flipkart.com/panasonic-30-l-convection-microwave-oven/p/itm563eae43ef1ab?pid=MRCGEF6VCC3MGVZQ&lid=LSTMRCGEF6VCC3MGVZQKN33WB&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_7_168&otracker=browse&fm=organic&iid=en_ceNR9YVRRSBXpoltpEtHjEYda7nRhiGoQPVvptlP8Id%2FjXuGrm6RuyxDK4cnlByAiUsmb1YftQJTAsrzSnuMcw%3D%3D&ppt=None&ppn=None&ssid=2y2jore78g0000001686860554604,"Panasonic 30 L Convection Microwave Oven  (NN-CT69MSFDG, Silver)",11990,20990,42,4.5,"1 Microwave Oven, Glass Tray, Roller Ring, Operation Instruction, Warranty Card, 2 Wire Rack",30,Convection,NN-CT69MSFDG,OmniTechRetail4.8,Panasonic,4,1,"Width: 52 cm, Height: 32.7 cm, Depth: 32.7 cm, Weight: 19.5 kg"
https://www.flipkart.com/kaff-70-l-built-in-convection-grill-microwave-oven/p/itm39b87c9134193?pid=MRCFTQKTRNMYGWPN&lid=LSTMRCFTQKTRNMYGWPNGNDTSZ&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_169&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCFTQKTRNMYGWPN.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Kaff 70 L Built-in Convection & Grill Microwave Oven  (MLJ E6, Black)",55990,63990,12,2.7,"1 Microwave, User Manual, Baking Tray, Wire Shelf, Rotisserie",70,Convection & Grill,MLJ E6,KAFFINDIA2.7,Kaff,0,0,"Width: 56.4 cm, Height: 59 cm, Depth: 58 cm, Weight: 30 kg"
https://www.flipkart.com/kaff-73-l-built-in-convection-microwave-oven/p/itmf3f917ec273cd?pid=MRCFMZ5DZJXC6KPH&lid=LSTMRCFMZ5DZJXC6KPHYOUQBI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_170&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCFMZ5DZJXC6KPH.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Kaff 73 L Built-in Convection Microwave Oven  (KOV 73 MRFT, Black)",39790,43990,9,3.3,"1 Microwave Oven, User Manual",73,Convection,KOV 73 MRFT,KAFFINDIA2.7,Kaff,3,0,"Width: 56.4 cm, Height: 58.5 cm, Depth: 58 cm, Weight: 40.2 kg"
https://www.flipkart.com/haier-20-l-solo-microwave-oven/p/itm51b52d3e5381e?pid=MRCFJM39X9DGRCCM&lid=LSTMRCFJM39X9DGRCCM6GTFAX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_171&otracker=browse&fm=organic&iid=en_tWiSiTCxIsdnXEAdtsz27dpUXhA8ZhHhE9hyE37myBxtgjZsWwpffyUqoYKnLxfIr4BSX0oWJHPYAN1X1gvNqw%3D%3D&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",5390,7999,32,4.3,"1 Microwave, User Manual and Warranty Card",20,Solo,HIL2001MWPH,OmniTechRetail4.8,Haier,1290,150,"Width: 44 cm, Height: 25.9 cm, Depth: 34 cm, Turntable Diameter: 25.5 cm, Weight: 10.4 kg"
https://www.flipkart.com/haier-30-l-convection-microwave-oven/p/itmf19d876cddd49?pid=MRCFSZPT2HGHMW35&lid=LSTMRCFSZPT2HGHMW35MOTWJW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_172&otracker=browse&fm=organic&iid=en_tWiSiTCxIsdnXEAdtsz27dpUXhA8ZhHhE9hyE37myByN2uC1L2c16humwIwP%2Fmy6AwEXoLeTwJ9%2BjktSMgaN5g%3D%3D&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Haier 30 L Convection Microwave Oven  (HIL3001CBSH, Black)",15490,23999,35,4.5,"1 Microwave Oven,Accessories(Turntable,Roller Ring),1 Instruction Manual,Pizza plate,Grill rack",30,Convection,HIL3001CBSH,OmniTechRetail4.8,Haier,121,14,"Width: 52 cm, Height: 32.6 cm, Depth: 50.8 cm, Cavity Width: 34.8 cm, Cavity Height: 33.2 cm, Cavity Depth: 24.2 cm, Cord Length: 1 m, Weight: 18.9 kg"
https://www.flipkart.com/kaff-28-l-built-in-convection-grill-microwave-oven/p/itmd42592ab6c527?pid=MRCFMZ5DBNYXRCG9&lid=LSTMRCFMZ5DBNYXRCG9QESBLT&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_173&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCFMZ5DBNYXRCG9.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Kaff 28 L Built-in Convection & Grill Microwave Oven  (KMW HN 6, Black)",34990,47990,27,4.4,"1 Microwave Oven, User Manual",28,Convection & Grill,KMW HN 6,KAFFINDIA2.7,Kaff,9,2,"Width: 59.5 cm, Height: 38 cm, Depth: 58 cm, Weight: 20 kg"
https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmegz56vhnbgvag?pid=MRCEGZ568BKTUYBG&lid=LSTMRCEGZ568BKTUYBGLPHS5Z&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_174&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCEGZ568BKTUYBG.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",17999,20090,10,4.6,1 Glass Turntable,28,Convection,MC2886BFTM,SUBER ENTERPRISES LLP2.8,LG,43,7,"Width: 51 cm, Height: 30.5 cm, Depth: 49.5 cm, Turntable Diameter: 32 cm, Weight: 18.5 kg"
https://www.flipkart.com/lg-32-l-convection-microwave-oven/p/itm220d0df5f033b?pid=MRCG93Q6GKEUSSEM&lid=LSTMRCG93Q6GKEUSSEMXVKZOU&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_175&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCG93Q6GKEUSSEM.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"LG 32 L Convection Microwave Oven  (MJEN326UL, BLACK)",23029,29999,23,4.2,1 Roller Ring 1 Grill Rack & 1 User Manual with Warranty Card Starter Kit 1 Microwave Oven 1 Glass Turn Table,32,Convection,MJEN326UL,BOOTHAPPAELECTRINCS2,LG,15,0,"Width: 53 cm, Height: 32.2 cm, Depth: 52 cm, Weight: 22 kg"
https://www.flipkart.com/kenstar-20-l-solo-microwave-oven/p/itme79a6afcghae5?pid=MRCFJHUMDN3PBEQX&lid=LSTMRCFJHUMDN3PBEQXCXPAUH&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_176&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCFJHUMDN3PBEQX.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Kenstar 20 L Solo Microwave Oven  (KM20SSLN, BLACK)",6499,8499,23,4.3,"1 Glass Tray , 1 Microwave Oven , 1 User Manual & Warranty card",20,Solo,KM20SSLN,Aadientarprises2.9,Kenstar,213,26,"Width: 35 cm, Height: 27 cm, Depth: 46 cm, Weight: 10 kg"
https://www.flipkart.com/haier-20-l-convection-microwave-oven/p/itmer9yvsghjyfkz?pid=MRCER9YVP87DBZYY&lid=LSTMRCER9YVP87DBZYYFUEXBK&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_177&otracker=browse&fm=organic&iid=en_tWiSiTCxIsdnXEAdtsz27dpUXhA8ZhHhE9hyE37myBzKkL3B5mYgwVVgJgr%2BgI5Pk%2FbLoxDEhH84zV5A3dmkFQ%3D%3D&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"Haier 20 L Convection Microwave Oven  (HIL2001CWPH, Black & White)",9390,10500,10,4.2,Warranty Card (Inside),20,Convection,HIL2001CWPH,OmniTechRetail4.8,Haier,3072,393,"Width: 45.1 cm, Height: 25.6 cm, Depth: 33.7 cm, Turntable Diameter: 27 cm, Grill Rack Diameter: 21 cm, Cavity Width: 30.7 cm, Cavity Height: 19.6 cm, Cavity Depth: 30.6 cm, Cord Length: 2.05 m, Weight: 11.6 kg"
https://www.flipkart.com/lg-32-l-convection-microwave-oven/p/itmegvvbwfgdfysz?pid=MRCEGVVBVVT8VT8J&lid=LSTMRCEGVVBVVT8VT8JIVBOFX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_178&otracker=browse&fm=organic&iid=en_tWiSiTCxIsdnXEAdtsz27dpUXhA8ZhHhE9hyE37myBzy4b8y1HDrgeBarSsx2wZOtIg0RyCfuWVPadfAfYCGvA%3D%3D&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",16999,23999,29,4.4,1 Roller Ring,32,Convection,MC3286BRUM,IWQNBecommerce4.7,LG,2861,313,"Width: 53 cm, Height: 31.5 cm, Depth: 52 cm, Turntable Diameter: 34 cm, Weight: 20 kg"
https://www.flipkart.com/lg-21-l-convection-microwave-oven/p/itmegz56cuwdkzdz?pid=MRCEGZ56RBZZRHCH&lid=LSTMRCEGZ56RBZZRHCHAHOHXB&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_8_179&otracker=browse&fm=organic&iid=0bcb6037-b80e-4c3d-ad66-e7238fda8d88.MRCEGZ56RBZZRHCH.SEARCH&ppt=None&ppn=None&ssid=hwl018pzj40000001686860572534,"LG 21 L Convection Microwave Oven  (MC2146BL, Black)",11559,12059,4,4.3,1 Glass Turntable,21,Convection,MC2146BL,AuthorizedSellerBLR3.1,LG,667,75,"Width: 47.5 cm, Height: 28.5 cm, Depth: 46 cm, Turntable Diameter: 24.5 cm, Weight: 16.6 kg"
