URL,Title,Offer Price,MRP,Rating,In the Box,Capacity,Type,Model,Seller Name,Brand,No of Ratings,No of Reviews,Dimensions
https://www.flipkart.com/samsung-32-l-convection-grill-microwave-oven/p/itm417eb79d2a3bc?pid=MRCGJZYUGHVKUNVK&lid=LSTMRCGJZYUGHVKUNVKRE887M&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_11&otracker=browse&fm=organic&iid=en_66e2%2Fobm%2BiYprF7bHMP1uEvJX%2F%2FC7NzkIb3TpweRDr4%2B3gDnp5gIoGXFSVkdJrgaio%2FAwWjPbzk8gt65%2B%2FS9WQ%3D%3D&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 32 L Convection & Grill Microwave Oven  (MC32B7382QD/TL, Black)",28750,39990,4.7,Microwave oven,32,Convection & Grill,MC32B7382QD/TL,IWQNBecommerce4.7,SAMSUNG,Null,Null,"Width: 51.5 cm, Height: 33 cm, Depth: 52.3 cm, Weight: 20.4 kg"
https://www.flipkart.com/samsung-32-l-convection-microwave-oven/p/itm9a7bc689399fe?pid=MRCGJZYUC8JAY4CF&lid=LSTMRCGJZYUC8JAY4CFJSQPYI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_12&otracker=browse&fm=organic&iid=en_66e2%2Fobm%2BiYprF7bHMP1uEvJX%2F%2FC7NzkIb3TpweRDr7NrJIgeOlO%2BAFN%2F8v%2F4ga%2BleAlc1CKiJsq%2F3OnWJFYbA%3D%3D&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 32 L Convection Microwave Oven  (MC32A7056QT/TL, Black)",22750,34990,4.7,"1 Microwave Oven, Wire Rack and Quick Guide Label",32,Convection,MC32A7056QT/TL,IWQNBecommerce4.7,SAMSUNG,Null,Null,"Width: 52.3 cm, Height: 30.9 cm, Depth: 48.6 cm, Cavity Width: 37.3 cm, Cavity Height: 23.3 cm, Cavity Depth: 36.3 cm, Weight: 20 kg"
https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itm438ef2e1e11e0?pid=MRCFYGF2XCGEQV6H&lid=LSTMRCFYGF2XCGEQV6HZJUVRI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_13&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCFYGF2XCGEQV6H.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"BAJAJ 20 L Grill Microwave Oven  (2016 MTBX, Black)",5699,5995,4.4,User Manual,20,Grill,2016 MTBX,OmniTechRetail4.9,BAJAJ,5511,512,"Width: 40 cm, Height: 32.8 cm, Depth: 20.94 cm, Weight: 11 kg"
https://www.flipkart.com/ifb-20-l-solo-microwave-oven/p/itmb32d57970c78b?pid=MRCGBVSRDFEA8HHH&lid=LSTMRCGBVSRDFEA8HHHBQZM0F&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_14&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCGBVSRDFEA8HHH.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"IFB 20 L Solo Microwave Oven  (20PM-MEC2, White)",5990,7190,4.5,Microwave:: Glass Turnable Plate::User Manual::Warranty Card,20,Solo,20PM-MEC2,OmniTechRetail4.9,IFB,153,9,"Width: 440 cm, Height: 345 cm, Depth: 260 cm, Cord Length: 1 m, Weight: 11 kg"
https://www.flipkart.com/ifb-20-l-solo-microwave-oven/p/itm44436cbe2eb7c?pid=MRCGA9TXFMKFG38U&lid=LSTMRCGA9TXFMKFG38UWM5ZP6&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_15&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCGA9TXFMKFG38U.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",6190,7290,4.4,"1 Microwave Oven, User Manual, Warranty Card",20,Solo,20PM-MEC2B,OmniTechRetail4.9,IFB,496,29,"Width: 44 cm, Height: 34.7 cm, Depth: 25.9 cm, Weight: 10.8 kg"
https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmec7c5082a9fc9?pid=MRCDZ5VFEZFH8WDN&lid=LSTMRCDZ5VFEZFH8WDNZ4WTS5&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_16&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCDZ5VFEZFH8WDN.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",6290,7899,4.4,"1 Glass Turntable
1 Roller Ring
1 High Rack
User Manual with Warranty Card
1 Microwave Oven",20,Solo,MS2043DB.DB1QILN,IWQNBecommerce4.7,LG,3604,319,"Width: 45.5 cm, Height: 252 mm, Depth: 32 cm, Turntable Diameter: 24.5 cm, Weight: 20 kg"
https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmejy9afxsgvzvh?pid=MRCEJY9AF8FJRZTB&lid=LSTMRCEJY9AF8FJRZTB4QNSB9&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&spotlightTagId=TrendingId_j9e%2Fm38%2Fo49&srno=b_1_17&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCEJY9AF8FJRZTB.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",15690,22099,4.4,1 Roller Ring,28,Convection,MC2886BRUM,IWQNBecommerce4.7,LG,3424,493,"Width: 51 cm, Height: 30.5 cm, Depth: 49.5 cm, Turntable Diameter: 32 cm, Weight: 18.5 kg"
https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmejy9azg8a4u9g?pid=MRCEJY9AMKNNGJ8Z&lid=LSTMRCEJY9AMKNNGJ8ZGMNORW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_18&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCEJY9AMKNNGJ8Z.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"LG 28 L Convection Microwave Oven  (MC2846SL, Silver)",12990,17699,4.4,1 Roller Ring,28,Convection,MC2846SL,IWQNBecommerce4.7,LG,3990,501,"Width: 51 cm, Height: 30.5 cm, Depth: 49.5 cm, Turntable Diameter: 32 cm, Weight: 18.5 kg"
https://www.flipkart.com/ifb-20-l-grill-microwave-oven/p/itmeftrwxravzfzf?pid=MRCEFTRWHGRWAXMT&lid=LSTMRCEFTRWHGRWAXMTQMHL9V&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_19&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCEFTRWHGRWAXMT.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)",7950,10290,4.3,User Manual,20,Grill,20PG4S,OmniTechRetail4.9,IFB,668,65,"Width: 45.2 cm, Height: 26.2 cm, Depth: 36.5 cm, Turntable Diameter: 24.5 cm, Weight: 12.5 kg"
https://www.flipkart.com/ifb-30-l-convection-microwave-oven/p/itm934614bae0eae?pid=MRCEFTRWYHXDHPDA&lid=LSTMRCEFTRWYHXDHPDASMR2RU&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_20&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCEFTRWYHXDHPDA.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"IFB 30 L Convection Microwave Oven  (MICRO WAVE OVEN 30FRC2, Black)",15990,19290,4.4,User Manual,30,Convection,MICRO WAVE OVEN 30FRC2,IWQNBecommerce4.7,IFB,7349,749,"Width: 638 mm, Height: 366 mm, Depth: 488 mm, Turntable Diameter: 31.5 cm, Weight: 19.27 kg"
https://www.flipkart.com/ifb-30-l-convection-microwave-oven/p/itmeftrwhzzy5kyv?pid=MRCEFTRWADS3GCK4&lid=LSTMRCEFTRWADS3GCK4QK0J4B&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_21&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCEFTRWADS3GCK4.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"IFB 30 L Convection Microwave Oven  (30BRC2, Black)",14490,18890,4.4,User Manual,30,Convection,30BRC2,IWQNBecommerce4.7,IFB,61110,7271,"Width: 638 mm, Height: 488 mm, Depth: 366 mm, Turntable Diameter: 31.5 cm, Weight: 18.4 kg"
https://www.flipkart.com/haier-20-l-solo-microwave-oven/p/itm51b52d3e5381e?pid=MRCFJM39X9DGRCCM&lid=LSTMRCFJM39X9DGRCCM6GTFAX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_22&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCFJM39X9DGRCCM.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",5690,7999,4.3,"1 Microwave, User Manual and Warranty Card",20,Solo,HIL2001MWPH,OmniTechRetail4.9,Haier,1284,150,"Width: 44 cm, Height: 25.9 cm, Depth: 34 cm, Turntable Diameter: 25.5 cm, Weight: 10.4 kg"
https://www.flipkart.com/whirlpool-20-l-solo-microwave-oven/p/itm55e37900bfc42?pid=MRCFHW7R6ZYZPPJT&lid=LSTMRCFHW7R6ZYZPPJTTT2WQW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_23&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCFHW7R6ZYZPPJT.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SE black, Black)",5950,7000,4.2,1 Microwave,20,Solo,MAGICOOK PRO 20SE black,376LKO3.7,Whirlpool,2206,181,"Width: 45.2 cm, Height: 26.2 cm, Depth: 35 cm, Weight: 12 kg"
https://www.flipkart.com/samsung-28-l-convection-microwave-oven/p/itm2f7daba92aca8?pid=MRCGDAVXZXKCNBB8&lid=LSTMRCGDAVXZXKCNBB8OD60YD&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_24&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCGDAVXZXKCNBB8.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 28 L Convection Microwave Oven  (MC28A5025VP, Black with Pattern)",14790,20990,4.4,"1 Convection Microwave Oven, Glass Turntable, Wire Rack, Crusty Plate, Multi Spit, Quick Guide Label",28,Convection,MC28A5025VP,OmniTechRetail4.9,SAMSUNG,602,50,"Width: 51.7 cm, Height: 310 mm, Depth: 475 mm, Turntable Diameter: 31.8 cm, Cavity Width: 35.8 cm, Cavity Height: 23.55 cm, Cavity Depth: 32.7 cm, Weight: 17.5 kg"
